index,Name,Movie Word Count,Movie Characters Count,Link,Year,Director,Studio,Running Time,ProducedBy,WrittenBy,ScreenplayBy,StoryBy,Starring,MusicBy,Cinematography,EditedBy,DistributedBy,ReleaseDate,Release Day,BoxOffice
108,Kalavani 2,4,10,https://en.wikipedia.org/wiki/Kalavani_2,2019,A. Sarkunam,Varmans Productions,143 minutes, A. Sarkunam,0,0,0," Vimal
Oviya"," Natarajan Sankaran (score)
Mani Amudhavan (songs)
V2 (songs)
V. Ronald Regan (songs)", Masani, Raja Mohammad,0,05-Jul-19,6,0
109,Raatchasi,2,9,https://en.wikipedia.org/wiki/Raatchasi,2019,Sy. Gowthamraj,Dream Warrior Pictures,136 minutes," S. R. Prakashbabu
S. R. Prabhu", Sy Gowthamraj,0,0, Jyothika, Sean Roldan, Gokul Benoy, Philomin Raj, Dream Warrior Pictures,05-Jul-19,6,0
110,Bodhai Yeri Budhi Maari,1,23,https://en.wikipedia.org/wiki/Bodhai_Yeri_Budhi_Maari,2019,Chandru,Rise East Entertainments,0, Sreenidhi Sagar," Chandru KR
Kathir",0, Chandru KR," Dheeraj
Pradaini Surva
Radha Ravi", KP, Balasubramaniem, V. J. Sabu Joseph,0,12-Jul-19,6,0
111,Gorilla,4,7,https://en.wikipedia.org/wiki/Gorilla_(film),2019,Don Sandy,All in Pictures,130 minutes, Vijay Raghavendra, Don Sandy,0,0," Jiiva
Shalini Pandey
Kong
Sathish
Vivek Prasanna", Sam C. S., R. B. Gurudev, Ruben,0,12-Jul-19,6,0
112,Gurkha,1,6,https://en.wikipedia.org/wiki/Gurkha_(film),2019,Sam Anton,4 Monkeys Studios,0, Sam Anton,0, Sam Anton,0," Yogi Babu
Elyssa Erhardt
Anandaraj
Charle
Raj Bharath", Raj Aryan, Krishnan Vasant, Ruben,0,12-Jul-19,6,₹8 crore (US$1.1 million)(see below)
113,Thozhar Venkatesan,1,18,https://en.wikipedia.org/wiki/Thozhar_Venkatesan,2019,Mahashivan,Kaala Films,0," Madhavi Harishankar
Suseenthiran", Mahashivan,0,0," Harishankar
Monica Chinnakotla", Sagishna Xavier, Veda Selvam," Mahashivan
Rajesh Kanna", VT Cinemas,12-Jul-19,6,0
114,Vennila Kabaddi Kuzhu 2,2,23,https://en.wikipedia.org/wiki/Vennila_Kabaddi_Kuzhu_2,2019,Selvasekaran,Saai Arputham Cinemas,140 minutes," Poongavanam
Anandh",0, Selva Sekaran, Suseenthiran,"
Vikranth
Arthana Binu", V. Selvaganesh, E. Krishnasamy, Ajay,0,12-Jul-19,6,0
115,Igloo,4,5,https://en.wikipedia.org/wiki/Igloo_(2019_film),2019,Bharath Mohan,Drumsticks Productions,138 minutes, Vedikkaranpatti S. Sakthivel,0,0,0," Amzath Khan
Anju Kurian
RJ Vigneshkanth", Arrol Corelli, kugan s palani, Prasanna GK, ZEE5,17-Jul-19,4,0
116,Aadai,1,5,https://en.wikipedia.org/wiki/Aadai,2019,Rathnakumar,V Studios,141 minutes, Viji Subramaniyan, Rathna Kumar,0,0," Amala Paul
Vivek Prasanna
Ramya Subramanian"," Pradeep Kumar
Oorka (band)", Vijay Karthik Kannan, Shafique Mohammed Ali, Srii Umayal Films,19-Jul-19,6,0
117,Kadaram Kondan,1,14,https://en.wikipedia.org/wiki/Kadaram_Kondan,2019,Rajesh Selva,Raaj Kamal Films International,121 minutes," Kamal Haasan
R. Ravindran", Rajesh M. Selva,0,0,"
Vikram
Akshara Haasan
Abi Hassan", Ghibran, Srinivas R. Gutha, Praveen K. L., Trident Arts,19-Jul-19,6,0
