index,Name,Movie Word Count,Movie Characters Count,Link,Year,Director,Studio,Running Time,ProducedBy,WrittenBy,ScreenplayBy,StoryBy,Starring,MusicBy,Cinematography,EditedBy,DistributedBy,ReleaseDate,Release Day,BoxOffice
0,Devakottai Kadhal,2,17,,2019,A. R. Kashim,Abbas Movie Line,,,,,,,,,,,,,
1,Maanik,2,6,https://en.wikipedia.org/wiki/Maanik,2019,Martyn,Mohita Cine Talkies,0, M. Subramaniyan,0,0,0," Ma Ka Pa Anand
Suza Kumar", Dharan Kumar, Mahesh Muthuswami, K M Riyaz,0,04-Jan-19,6,0
2,Sigai,1,5,https://en.wikipedia.org/wiki/Sigai,2019,Jagadeesan Subu,0,102 minutes, NPKS.Logu," Jagadeesan subbu
M.K.Mani
Aravindhan",0,0," Kathir
Meera Nair
Raj Bharath
Riythvika
Mayilsamy", Ron Ethan Yohann, Navin Kumar, Anucharan, ZEE5,"
15 January 2017 (All Lights India International Film Festival)
9 January 2019 (India)",4,0
3,Petta,1,5,https://en.wikipedia.org/wiki/Petta_(film),2019,Karthik Subbaraj,Sun Pictures,172 minutes, Kalanithi Maran, Karthik Subbaraj,0,0," Rajinikanth
Simran
Vijay Sethupathi
Trisha
Nawazuddin Siddiqui
M. Sasikumar
Malavika Mohanan
Bobby Simha
Megha Akash", Anirudh Ravichander, Tirru, Vivek Harshan, Sun Pictures,10-Jan-19,5, ₹220–250 crore
4,Viswasam,1,8,https://en.wikipedia.org/wiki/Viswasam,2019,Siva,Sathya Jyothi Films,156 minutes," T. G. Thyagarajan
(Presenter)
Sendhil Thyagarajan
Arjun Thyagarajan"," Siva
K. Manikandan
Ra. Savarimuthu
Antony Bakyaraj
Chandran Pachaimuthu
(Dialogues)", Siva, Ajith Kumar," Ajith Kumar
Nayanthara", D. Imman, Vetri, Ruben," KJR Studios, Raja Mannar Films & Sakthi Film Factory",10-Jan-19,5, ₹160–200 crore
5,Charlie Chaplin 2,1,17,https://en.wikipedia.org/wiki/Charlie_Chaplin_2,2019,Sakthi Chidambaram,Amma Creations,0, T. Siva, Sakthi Chidambaram,0,0," Prabhu Deva
Prabhu
Nikki Galrani", Amresh Ganesh, Soundarrajan, G. Sasikumar,0,25-Jan-19,6,0
6,Kuthoosi,3,8,https://en.wikipedia.org/wiki/Kuthoosi,2019,Siva Sakthi,Sri Lakshmi Studios,135 minutes,0, Siva Sakthi,0,0," Dileepan
Amala Rose Kurian
Yogi Babu
Siva", N. Kannan,0,0,0,25-Jan-19,6,0
7,Simba,1,5,https://en.wikipedia.org/wiki/Simba_(2019_film),2019,Arvind Sridhar,"Magic Chair Films, Yasodha Films",131 minutes," K. Sivaneswaran
Vasu Arumugam", Arvind Sridhar,0,0," Bharath
Premji
Bhanu Sri Mehra
Swathi Deekshith
Ramana", Vishal Chandrasekhar, Sinu Siddharth, Achu Vijayan,0,25-Jan-19,6, 50 lakhs
8,Pei Ellam Paavam,1,16,,2019,Deepak Narayan,Tharakan Cinemas,,,,,,,,,,,,7,
9,Peranbu,3,7,https://en.wikipedia.org/wiki/Peranbu,2019,Ram,Shree Rajalakshmi Films,147 minutes, P. L. Thenappan, Ram,0,0,"
Mammootty
Sadhana
Anjali
Anjali Ameer", Yuvan Shankar Raja, Theni Eswar, Sathish Suriya,0,"
27 January 2018 (International Film Festival Rotterdam)
1 February 2019 (Worldwide)
",6,0
10,Sagaa,1,5,https://en.wikipedia.org/wiki/Sagaa,2019,Murugesh,Selly Cinemas,122 minutes, R.Selvakumar Ramprasath, Murugesh,0,0,"
Saran Shakthi
Ayra
Kishore
Sree Raam
Pandi
Neeraja
Prithvi Rajan", Shabir, Niran Chander, Hariharan,0,01-Feb-19,6,0
11,Sarvam Thaala Mayam,1,19,https://en.wikipedia.org/wiki/Sarvam_Thaala_Mayam,2019,Rajiv Menon,Mindscreen Cinemas,130 minutes, Latha Menon, Rajiv Menon,0,0," G. V. Prakash Kumar
Nedumudi Venu
Aparna Balamurali
Vineeth
Kumaravel"," Original Songs:
A. R. Rahman
Rajiv Menon (One song)
Background score:
A. R. Rahman
Qutub-E-Kripa", Ravi Yadav, Anthony," Jio Studios
Sakthi Film Factory",01-Feb-19,6,0
12,Vantha Rajavathaan Varuven,3,26,https://en.wikipedia.org/wiki/Vantha_Rajavathaan_Varuven,2019,Sundar C.,Lyca Productions,0, Allirajah Subaskaran, K. Selva Bharathy (Dialogues), Sundar C., Sundar C.," Silambarasan
Megha Akash
Catherine Tresa", Hiphop Tamizha, Gopi Amarnath, N. B. Srikanth,0,01-Feb-19,6,0
13,Dhilluku Dhuddu 2,3,17,https://en.wikipedia.org/wiki/Dhilluku_Dhuddu_2,2019,Rambala,Handmade Films,0, Santhanam, Rambhala,0,0," Santhanam
Shritha Sivadas
Deepti
Rajendran
Bipin
Urvashi", Shabir, Deepak Kumar Pathy, Madhavan M., Trident Arts,07-Feb-19,5,0
14,Podhu Nalan Karudhi,3,19,https://en.wikipedia.org/wiki/Podhu_Nalan_Karudhi,2019,Zion,AVR Productions,0, AVR Anbuvelrajan, Zion,0,0," Santhosh Prathap
Adith Arun
Karunakaran", A. Hariganesh, Suwaminathan, Greyson A.C.A, PT Selvakumar,07-Feb-19,5,0
15,Avathara Vettai,3,15,,2019,Star Kunjumon,Star Kunjumon Productions,,,,,,,,,,,,7,
16,Nethraa,2,7,https://en.wikipedia.org/wiki/Nethraa,2019,A. Venkatesh,"Swetha Cine Arts, Vengatesh Pictures",108 minutes," S. Pararajasingam,
A. Venkatesh"," A. Venkatesh,
Ajayan Bala (dialogues)",0,0," Vinay
Thaman Kumar
Subiksha", Srikanth Deva, A. Jeyaprakash, N. Vinaj,0,09-Feb-19,7,0
17,Urangapuli,1,10,,2019,M. S. Raj,"CJ Pictures, Naatchiyaal Films",,,,,,,,,,,,7,
18,Vaandu,1,6,https://en.wikipedia.org/wiki/Vaandu,2019,Vashan Shaji,MM Power Cine Creations,0," Vashan Shaji
N. Muniyandi
E.Mathi",0,0,0,"
Chinu
SR Guna
Shigaa
Allwin
Sai Dheena", A. R. Neshan,0,0,0,08-Feb-19,6,0
19,Kalavu,1,6,https://en.wikipedia.org/wiki/Kalavu_(2019_film),2019,Murali Karthik,"Spicy Cool Impressions, Big Print Pictures",0," Diliban M. Sengottian
I. B. Karthikeyan", Murali Karthick,0, Murali Karthick," Kalaiyarasan
Karunakaran
Venkat Prabhu
Vatsan Chakravarthy
Abhirami Iyer", K. S. Sundaramurthy, Vignesh Rajagopalan, Kiripakaran Purushothaman,0,09-Feb-19,7,0
20,Dev,1,3,https://en.wikipedia.org/wiki/Dev_(2019_film),2019,Rajath Ravishankar,Prince Pictures,159 minutes, S. Lakshman Kumar, Rajath Ravishankar,0,0," Karthi
Rakul Preet Singh
Prakash Raj
Ramya Krishnan", Harris Jayaraj, R. Velraj, Ruben," Reliance Entertainment
Murali Cine Arts (Tamil Nadu)","
13 February 2019 (United States)
14 February 2019 (India)",5,0
21,Chithiram Pesuthadi 2,1,21,https://en.wikipedia.org/wiki/Chithiram_Pesuthadi_2,2019,Rajan Madhav,Dream Bridge Productions,130 minutes," L. V. Srikanth
SN Ezilan
Yugesram", Rajan Madhav,0,0," Vidharth
Ajmal Ameer
Ashok
Radhika Apte
Nivedhitha
Gayathrie
Nivas Adithan
Nandhan
Priya Banerjee", Sajan Madhav, Padmesh, K Venkatramanan,0,15-Feb-19,6,0
22,Goko Mako,3,9,https://en.wikipedia.org/wiki/Goko_Mako,2019,Arunkanth,InfoPluto Media Works,96 minutes, Arunkanth, Arunkanth V,0,0," Ramkumar
Dhanusha", Arunkanth, Sukumaran Sundar, Vinoth Sridhar, Info Pluto Media Works,14-Feb-19,5,0
23,Kadhal Mattum Vena,2,18,,2019,Sam Khan,Luckky Studios,,,,,,,,,,,,7,
24,To Let,3,6,https://en.wikipedia.org/wiki/To_Let_(film),2019,Chezhiyan,Zha Cinema,99 minutes, Prema Chezhiyan, Chezhiyan,0,0,"
Santhosh Sreeram
Sheela
Dharun
Aadhira Pandilakshmi",0, Chezhiyan, A. Sreekar Prasad,0,"
November 2017 (Kolkata)
21 February 2019",5,0
25,Arandavanuku Irundadhellam Pei,2,30,,2019,M. S. Selva,KKP Vela Films,,,,,,,,,,,,7,
26,Kanne Kalaimaane,3,16,https://en.wikipedia.org/wiki/Kanne_Kalaimaane,2019,Seenu Ramasamy,Red Giant Movies,0, Udhayanidhi Stalin, Seenu Ramasamy,0,0," Udayanidhi Stalin
Tamannaah", Yuvan Shankar Raja, Jalandhar Vasan, Kasi Viswanathan,0,22-Feb-19,6,0
27,LKG,2,3,https://en.wikipedia.org/wiki/LKG_(film),2019,K. R. Prabhu,Vels Film International,124 minutes, Ishari K. Ganesh, RJ Balaji & friends,0,0," RJ Balaji
Priya Anand
Nanjil Sampath
J. K. Rithesh
Ramkumar Ganesan
Mayilsamy", Leon James, Vidhu Ayyanna, Anthony, Sakthi Film Factory,22-Feb-19,6, 15 crores
28,Pettikadai,1,10,https://en.wikipedia.org/wiki/Pettikadai,2019,Esakki Karvannan,"Chinu, Guna, Shigaa, Allwin",0,0, Esakki Karvannan,0,0," Samuthirakani
Veera
Chandini Tamilarasan
Varsha Bollamma
Arunothayan Laxmanan", Mariya Manohar, N. K. Ekambaram, Gopi Krishna,0,22-Feb-19,6,0
29,90ML,1,4,https://en.wikipedia.org/wiki/90ML_(2019_Tamil_film),2019,Anita Udeep,Nviz Entertainment,129 minutes, Anita Udeep, Anita Udeep,0,0," Oviya
Anson Paul
Masoom Shankar
Monisha Ram
Shree Gopika
Bommu Lakshmi", Silambarasan, Aravind Krishna, Anthony,0,01-Mar-19,6,0
30,Adadae,1,6,,2019,Kamal Saromuni,Creative Horse Entertainment,,,,,,,,,,,,7,
31,Dha Dha 87,1,10,https://en.wikipedia.org/wiki/Dha_Dha_87,2019,Vijay Sri,Kalai Cinemas,0, Kalai selvan M, Vijay Sri G, Vijay Sri G,0," Charuhasan
Saroja
Janagaraj", Leander Lee Marty, Raja Pandi, Sri Vatsan,0,01-Mar-19,6,0
32,Pirivadhillai,3,13,,2019,Seethapathy Ram,Sri Udhayam Studios,,,,,,,,,,,,7,
33,Thadam,1,6,https://en.wikipedia.org/wiki/Thadam,2019,Magizh Thirumeni,Redhan – The Cinema People,138 minutes, Inder Kumar, Magizh Thirumeni,0,0," Arun Vijay
Tanya Hope
Smruthi Venkat
Vidya Pradeep", Arun Raj, Gopinath, N. B. Srikanth, Screen Scene Media Entertainment,01-Mar-19,6,0
34,Thirumanam,1,10,https://en.wikipedia.org/wiki/Thirumanam_(2019_film),2019,Cheran,Preniss International,153 minutes, Premnath Chidambaram, Cheran,0,0," Cheran
Umapathy Ramaiah
Kavya Suresh
Sukanya
M. S. Bhaskar
Thambi Ramaiah
Jayaprakash
Manobala
Bala Saravanan
Seema G. Nair"," Siddharth Vipin (songs),
Sabesh-Murali (score)", Rajesh Yadav, Ponnuvel Damodaran,0,01-Mar-19,6,0
35,Vilambaram,1,10,https://en.wikipedia.org/wiki/Vilambaram_(2019_film),2019,K. A. Suriyanithi,Prince Film Factory,0, A. Joseph Stalin,0,0,0," Abhinay Vaddi
Haira
Aishwarya Rajesh", J. Vimal, Abdulkalam, P. Sai Suresh,0,01-Mar-19,6,0
36,Boomerang,1,9,https://en.wikipedia.org/wiki/Boomerang_(2019_film),2019,R. Kannan,"Trident Arts, M.K.R.P. Productions",125 minutes," R. Kannan
M.K. Ramprasad", R. Kannan,0,0," Atharvaa
Megha Akash
Indhuja
Sathish
RJ Balaji
Upen Patel", Radhan, Prasanna Kumar, R.K. Selva," Trident Arts
M.K.R.P. Productions",08-Mar-19,6,0
37,Kabilavasthu,1,12,,2019,Nesam Murali,Buddha Films,,,,,,,,,,,,7,
38,Pottu,1,5,https://en.wikipedia.org/wiki/Pottu_(film),2019,Vadivudaiyan,Shalom Studios,116 minutes, John Max, Vadivudaiyan,0,0," Bharath
Srushti
Namitha
Ineya", Amresh Ganesh, Sarvesh Murari, Sathish Suriya,0,08-Mar-19,6,0
39,Sathru,1,6,https://en.wikipedia.org/wiki/Sathru_(2019_film),2019,Naveen Nanjundan,RT Entertainment,117 minutes," Raghukumar
Raja Ratnam
Sritharan", Naveen Nanjundan, Naveen Nanjundan,0," Kathir
Srushti Dange
Laguparan
Ponvannan
Pawan
Neelima Rani
Suja Varunee"," Amresh Ganesh
Surya Prasadh R", Mahesh Muthuswami, Prasanna GK,0,08-Mar-19,6,0
40,Spot,1,4,,2019,VRR,RFI,,,,,,,,,,,,7,
41,Aghavan,1,7,https://en.wikipedia.org/wiki/Aghavan,2019,A. P. G. Elumalai,RBK Movies,152 minutes, R. Ravichandran, APG Elumalai,0,0," Kishore Ravichandran
Chirashree Anchan
Nithya Shetty", C. Sathya, Bala Palaniappan, LVK Dass,0,15-Mar-19,6,0
42,Gilli Bambaram Goli,1,19,,2019,D. Manoharan,Shri Sai Film Circuit,,,,,,,,,,,,7,
43,Ispade Rajavum Idhaya Raniyum,3,29,https://en.wikipedia.org/wiki/Ispade_Rajavum_Idhaya_Raniyum,2019,Ranjit Jeyakodi,Madhav Media,153 minutes, Balaji Kapa, Ranjit Jeyakodi,0,0," Harish Kalyan
Shilpa Manjunath
Ma Ka Pa Anand
Bala Saravanan", Sam C. S., Kavin Raj, Bavan Sreekumar,0,15-Mar-19,6,0
44,July Kaatril,4,12,https://en.wikipedia.org/wiki/July_Kaatril,2019,K. C. Sundaram,Kaviya Entertainments,138 minutes, Saravanan Palaniappan," KC Sundaram
Deepthi Govindarajan",0,0," Ananth Nag
Anju Kurian
Samyuktha Menon
Sathish", Joshua Sridhar, Demel Xavier Edwards, Anucharan,0,15-Mar-19,6,0
45,Nedunalvaadai,2,13,https://en.wikipedia.org/wiki/Nedunalvaadai,2019,Selvakannan,B Star Production,0, B-Star Productions, Selvakannan, Selvakannan, Selvakannan," Poo Ram
Elvis Alexander
Anjali Nair", Jose Franklin, Vinoth Rathinasamy, Kasi Viswanathan,0,"
15 March 2019 (India)",6,"₹5 crore (US$700,000)"
46,Agni Devi,1,9,https://en.wikipedia.org/wiki/Agni_Devi,2019,John Paul Raj,"Seatoa Studios, Jai Film Productions",97 minutes, Stalin and John Paul Raj," John Paul Raj
Karundhel Rajesh
Rajesh Kumar",0,0," Bobby Simha
Madhoo
Ramya Nambeesan
Sathish", Jakes Bejoy, Jana, Deepak,0,22-Mar-19,6,0
47,Embiran,2,7,https://en.wikipedia.org/wiki/Embiran,2019,Krishna Pandi,Panchavarnam Films,0, Panchavarnam,0,0,0," Rejith Menon
Radhika Preethi
T. S. B. K. Moulee", Prasanna, M. Pugazhenthi, D. Manoj,0,22-Mar-19,6,0
48,Maanasi,1,7,,2019,Navaz Suleiman,"MJ Films, Movie Masons",,,,,,,,,,,,7,
49,Neerthirai,1,10,https://en.wikipedia.org/wiki/Neerthirai,2019,P. S. Dharan,N Media,0, Kameela Nassar,0,0,0," Nassar
Thalaivasal Vijay
Viji Chandrasekhar", Tosh Nanda, P. S. Dharan, B Subhashkar,0,22-Mar-19,6,0
50,Pattipulam,1,10,https://en.wikipedia.org/wiki/Pattipulam_(film),2019,Suresh,Chandraa Media Vision,106 minutes, Thirumurugan, Suresh,0,0," Veerasamar
Amitha Rao
Yogi Babu", Vallavan,0,0,0,22-Mar-19,6,0
51,Saaral,1,6,,2019,DRL,Rainbow Movie Makers,,,,,,,,,,,,7,
52,Settaikkaranga,1,14,,2019,M. Muthu Manickam,Diva Dika Films,,,,,,,,,,,,7,
53,Airaa,1,5,https://en.wikipedia.org/wiki/Airaa,2019,Sarjun K. M.,KJR Studios,142 minutes, Kotapadi J Rajesh, Priyanka Ravindran,0,0," Nayanthara
Kalaiyarasan
Yogi Babu", Sundaramurthy K.S., Sudarshan Srinivasan, Karthik Jogesh, Trident Arts & Star Vijay (Satellite Right),28-Mar-19,5,0
54,Super Deluxe,1,12,https://en.wikipedia.org/wiki/Super_Deluxe_(film),2019,Thiagarajan Kumararaja,"Kino Fist, East West Dream Works Entertainment, Alchemy Vision Workz",176 minutes," Thiagarajan Kumararaja
S. D. Ezhilmathy
Kumaresan Vadivelu
Sathyaraj Natarajan
Swathi Raghuraman",0," Thiagarajan Kumararaja
Mysskin
Nalan Kumarasamy
Neelan K. Sekar",0," Vijay Sethupathi
Fahadh Faasil
Samantha
Ramya Krishnan", Yuvan Shankar Raja," P. S. Vinod
Nirav Shah", Sathyaraj Natarajan, YNOTX,29-Mar-19,6,0
55,Natpe Thunai,2,12,https://en.wikipedia.org/wiki/Natpe_Thunai,2019,Parthiban Desingu,Parthiban Desingu,155 minutes," Sundar C.
Kushboo"," Sreekanth Vasrp
Devesh Jeyachandran",0,0," Hiphop Tamizha Adhi
Anagha
Karu Pazhaniappan
Harish Uthaman
Sha Ra
RJ Vigneshkanth
Pandiarajan
Kausalya", Hiphop Tamizha, Aravinnd Singh, Fenny Oliver, Screen Scene Media Entertainment,04-Apr-19,5,0
56,Ganesha Meendum Santhipom,2,25,https://en.wikipedia.org/wiki/Ganesha_Meendum_Santhipom,2019,Rateesh Erate,Rateesh Erate,119 minutes, Arun Vikraman Krishnan, Ratheesh Earate,0,0," Prithvi Rajan
Oviya
I. M. Vijayan
Singampuli
Crane Manohar", NLB Siby, Vibind V, P. Sai Suresh,0,05-Apr-19,6,0
57,Kuppathu Raja,3,13,https://en.wikipedia.org/wiki/Kuppathu_Raja_(2017_film),2019,Baba Bhaskar,Baba Bhaskar,120 minutes," M Saravanan
S Siraj
T Saravanan", Baba Bhaskar, Baba Bhaskar,0," G. V. Prakash Kumar
Parthiban
Palak Lalwani
Poonam Bajwa
Yogi Babu", G. V. Prakash Kumar, Mahesh Muthuswami, Praveen K. L., S FOCUSS,"April 5, 2019",6,0
58,Kudimagan,2,9,https://en.wikipedia.org/wiki/Kudimagan,2019,Sathieshwaran,Sathieshwaran,0, Sathieshwaran, Sathieshwaran,0,0," Jaikumar
Akash
Nanditha Jennifer", SM Prashaanth, CT Arulselvan, K. R. Selvaraj,0,05-Apr-19,6,0
59,Oru Kadhai Sollatuma,1,20,https://en.wikipedia.org/wiki/Oru_Kadhai_Sollatuma,2019,Prasad Prabhakar,Prasad Prabhakar,0, Rajeev Panakkal,0, Prasad Prabhakar,0, Resul Pookutty," Songs:
Rahul Raj
Score:
Sharreth", Neil D'Cunha," Unni Malayil
Antony", Sony Pictures International Releasing,05-Apr-19,6,0
60,Uriyadi 2,3,9,https://en.wikipedia.org/wiki/Uriyadi_2,2019,Vijay Kumar,Vijay Kumar,0, Suriya, Vijay Kumar,0,0," Vijay Kumar
Sudhakar
Vismaya", Govind Vasantha, Praveen Kumar N., Linu M., Sakthi Film Factory,05-Apr-19,6,0
61,Gangs of Madras,2,15,https://en.wikipedia.org/wiki/Gangs_of_Madras,2019,C. V. Kumar,C. V. Kumar,142 minutes, C. V. Kumar, C. V. Kumar,0,0," Priyanka Ruth
Ashok
Daniel Balaji
Velu Prabhakaran
P. L. Thenappan
Aadukalam Naren
E. Ramdoss
Bagavathi Perumal"," Hari Dafusia (Songs)
Shyamalangan (Score)
Santhosh Narayanan(Music Supervision)", Karthick K Thillai, Radhakrishnan Dhanapal, Walt Disney Studios Motion Pictures,12-Apr-19,6,0
